customer_message,amazon_reply,predicted_intent
"@AmazonHelp No not at all, I'm just passing time here -_- 
Of course I came here after checking it -_- 
#AmazonSucks",@183451 Sorry for the trouble. Please revert to the email you've received from us and we'll check this for you. ^HN,Other/Unclear
"@115830 I love you, but your packaging is a little excessive don’t you think? #itwasonlynailpolish https://t.co/rNSgcHtJna",@672137 Thank for highlighting Katie. You can leave packaging feedback here - https://t.co/JzP7hlA23B ^TP,General Product/Service Question
@AmazonHelp I can't sign in my account it is locked,"@698685 When you click on the link, it will take you to a sign in page. Under where it says keep me signed in, you will see if you don't have an account or can't access your account, you can skip sign in. Just click the blue skip sign in. ^AY",Account/Security Issue
@AmazonHelp No action taken yet.,"@361238 I understand your concern, Nitin. Please revert to the correspondence you've received from us. I'll get back to you. ^HD",Other/Unclear
@AmazonHelp What's the purpose of his Twitter handle?? Can U atleast escalate my issue??? Do u need order number or name/I'd something???,@184637 We'll not be able to securely access your account over Twitter. Please revert to our email correspondence as requested. ^HK,Other/Unclear
SERIOUSLY why do I pay for @115821 prime when nothing EVER comes in 2 days?!?! 😩,@196517 I'm sorry for the wait! Are your orders arriving later than promised here: https://t.co/Y5jpI9gRhE? ^HC,Delivery Issue
"My nieces have the flu so thought would be nice to order them a craft, something to do while they don’t feel well... ordered from @115821 , paid extra for 1 day shipping and didn’t arrive on time ... so they didn’t get their present &amp; out $ for shipping 🤬",@240462 I'm sorry to hear your order hasn't arrived! Please give us a call or chat when you have a free moment; we'd be happy to explore options to correct this for you: https://t.co/hApLpM3Ejd ^MV,Delivery Issue
"@AmazonHelp Hey! I’d scheduled a pick up today, to return the order. No one has turned up as yet.",@431402 I'm sorry for the inconvenience on the return of your order. Call us here: https://t.co/vlvfJr4nN9 &amp; we'll help you.^SF,Refund/Return Request
@116618 can you stream all NFL games with this service? Monthly cost?,"@634324 At this time we offer Thursday Night Football on Amazon Video, included with Prime: https://t.co/bRVb8qkZ7h ^EB",General Product/Service Question
@AmazonHelp Just says arriving by 8PM 🤷🏻‍♂️,"@663075 I understand the inconvenience caused by a late order! Typically, late parcels are delivered the following working day. If not received by Monday, please reach us directly via phone or chat so we can go over available options with you: https://t.co/qy3J24VGxb ^BV",Order Status/Tracking Inquiry
"And after reseting the password, several times, it says it is incorrect. Come on folks, make it work or shut it down. Hey @115851 any comments on this terrible product/service? -Of course not. https://t.co/OmDqvOkfLj","@146157 Hi! Let us help you to access your account, please contact us by phone here: https://t.co/jzvkhdlrK5 Take Care! ^DA",Account/Security Issue
Ordered a new phone yesterday afternoon with One Day Delivery on @115830  - It's arriving monday apparently. That doesn't sound right to me.,@227088 During this busy time we have slightly extended the delivery window for some Prime eligible items. You can find out more info here: https://t.co/MOziUk4Pe1. Hope this helps!^SM,Delivery Issue
@AmazonHelp Disgraceful. We are not as privileged as others to shop on Amazon,@177043 Sorry to know that the product you are looking for is unavailable with us right now. (1/2) PJ,Other/Unclear
@115830 4 orders! all prime! all delayed! ordered separately over the period of a week not all at the same time,@165089 Sorry to hear. Are you still waiting for them? Was a reason given for the delay? ^PK,Delivery Issue
"@115850 Don't understand this. Why does the package have to go from Gurgaon to Delhi, if the delivery address is in Gurgaon? https://t.co/oV43HeVbQr","@285160 Sorry for the inconvenience. Please contact us here, https://t.co/00q4Sqj9zL we would definitely look into this. ^MD",Delivery Issue
@115821 so i had my fire stick remote next to a lamp in my house... the remote started melting from the heat. where can i get a replacement?,@356362 I'm so sorry to hear this! We'd like to take a look into some available options with you: https://t.co/hApLpMlfHN ^TH,Damaged/Defective Item
@AmazonHelp I want to complain about a product delivered that was different from the picture and about how useless you guys are at actually helping resolve the issue,@140382 Apologies for the trouble this has caused. Was the item sold directly by Amazon or a seller? What was advised when you contacted us?^CN,Damaged/Defective Item
@AmazonHelp @115850 @115821 yes they did help but when I was promised refund today and because of ur internal policy its delayed by 48 hrs on,@312363 I'd like to inform that it takes 3-5 working days for the amount to be credited from the date of refund being processed. ^RB,Refund/Return Request
"@AmazonHelp Yep, done that twice and nothing changes.",@397058 We would like to take a closer look into this! Please reach out to us via phone: https://t.co/JzP7hlA23B ^JP,Other/Unclear
@115850  I placed my order yesterday through amazon prime but today its showing that payment failure https://t.co/ECNjswRyQM,@634819 Payments made on Amazon.in could sometimes fail or remain in a pending stage due to reasons mentioned 1/3 ^AR,Billing/Charge Issue
"@115850 While ordering, Order #408-2146855-4660343 was supposed to be delivered by 30th but it is not shipped yet. Flipkart is prompter without extra charge :-(",@244340 Sorry to hear about the delivery of the order. Let us look into it. Have you reported it to the support team here: https://t.co/TxK11znixD ^HR,Delivery Issue
"So @115830 how come you offer ""Free one day delivery with Amazon Prime"" but then tell me that the product I just bought will be arriving in 4 days? Doesn't sound very ""One Day"" to me, just saying.","@206715 Hey Kerrie, thanks for reaching out! Our One-Day Delivery refers to the time taken once dispatched. You can learn more about deliveries around this time of the year here: https://t.co/7Bdqy3Kh5U ^BG",Delivery Issue
"@AmazonHelp I'm on PrimeVideo in Germany, using Chrome on a Mac.",@167292 Have you already deleted your Cache? ^AM,Other/Unclear
What’s the point of paying for amazon prime if you’re just gonna delay my shipping 🙄 @AmazonHelp,@433127 I'm sorry for the wait. Some items aren't able to ship immediately. What date is given on your order confirmation e-mail? ^AN,Delivery Issue
@115821 @AmazonHelp @115851 today I couldn't buy an iPhone 7 because you didn't had an option of paying EMI with Bajaj finsery card.,@638620 Sorry about that. I'll surely pass on your feedback to the concerned team internally Affan. ^HN,Billing/Charge Issue
@AmazonHelp First thing i have not possible for self return. So pls arrange from your hand,@120261 Please confirm if you have provided your details in the link shared by 'GK' &amp; we'll help you accordingly with your concern.^SF,Refund/Return Request
"@117795 your one click service, as effcient as it is, is totally flawed when my 1 year old daughter gets hold of my phone. https://t.co/MEf7FENgaf",@162784 Oh no! We'd like to look into our available options with you. Please reach us by phone or chat here: https://t.co/JzP7hlA23B ^AG,Account/Security Issue
@AmazonHelp My next day delivery ordered yesterday did not arrive today. I've been told to wait till next Wednesday. This is not acceptable,@475466 Please reach out directly to use by phone/chat here: https://t.co/JzP7hlA23B so that we can take a closer look. ^TN,Delivery Issue
"@AmazonHelp I need the link, where without creating an account I can post my complaints.",@192922 We are already conversing in a medium where you can address your queries/complaints without creating an Amazon account. 1/2 ^AB,General Product/Service Question
@AmazonHelp what does this say??? https://t.co/U3X8fOiR4G,"@297924 Hey, Levi! Drivers will leave notes if they didn't want to leave deliveries out in the open. This one shows the rear porch. ^AJ",Other/Unclear
@115850 Till  now issue has not been resolve and ur motive is to provide 100% consumer satisfaction.. I have recorded all the calls and having proof,@129200 I get your concern regarding cashback. Please respond to the email received from us &amp; we'll help you. ^BS,Other/Unclear
@AmazonHelp Is there any way to find out exactly what I owe Amazon's Recovery Service?  I'm completely in the dark about that.,"@159229 Without revealing personal info, is this regarding a Kindle installment plan or Amazon Pay? ^LJ",Billing/Charge Issue
@AmazonHelp So now I have memorize the page number..thank you for helping me to improve my memory ..! Love ❤,@447299 are added for the future orders. #Happy reading :) 2/2 ^PR,Other/Unclear
"@115850 I placed order two items404-4804911-4770726 
404-4221475-5237133 last week.Order https://t.co/JW48xkZc1a get deducted from my acnt",@489759 Kindly provide your details here: https://t.co/beaaDm0muc we'll get back to you soon. (2/2)^SF,Billing/Charge Issue
@AmazonHelp Sheared the details yesterday. Still no response. What to say ???,@723291 If you've filled in your details you should have received an email correspondence from our team. Kindly check the same. ^MM,Other/Unclear
@AmazonHelp Ordered something yesterday and today and it said guaranteed delivery the 13th so I'm confused. That doesn't sound #prime like to me,"@381545 When you placed the order yesterday, did it still give the 13th delivery date? Some items have longer processing times. ^JZ",Order Status/Tracking Inquiry
@115850 @115821 What is the point of giving delivery date when you people can't deliver on time and customer service hangs up on customer.,"@724657 That is quite a remark, Sumit. Kindly fill in your details here: https://t.co/W5TSYF7QQV and we will get back to you soon. ^KS",Delivery Issue
@AmazonHelp Somebody got in my account and purchased some playstation giftcards on my card ending in 7310 and I want that to be refunded,@212242 We aren't able to access accounts so we advise against posting personal info. Please contact us: https://t.co/hApLpMlfHN ^SD,Account/Security Issue
@120533 looting money and disappointing customers all the time. Worst service ever!,@295986 It is never our intention to cause inconvenience to our valued customer. Could you tell us what went wrong? ^MJ,Other/Unclear
@AmazonHelp Amazon should provide a contact supplier link to every sale,@507938 Hi Steve- Can you explain further? Are you trying to reach out to a Seller directly? ^NV,General Product/Service Question
